"Provider","Area","Function","Mode","Baseline","Latest","Model","CLI version","Revision","Build","Observed date","Case","Acceptance","Evidence","Source"
"codex","Chat","Injected context roles","interactive","Pass","Blocked","gpt-5.4-mini","codex-cli 0.153.4","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:34:42.246Z","chat/context-injection-provenance","Observed provider context retains non-user roles and non-request archive provenance","The exact native-user-request prerequisite fails because terminal color-response bytes entered the prompt (#1211). This dependent assertion does not establish another tool-role, context-role, or correlation defect.","https://github.com/wardian-app/Wardian/issues/1211"
"opencode","Chat","Injected context roles","interactive","Untested","Untested","opencode/mimo-v2.5-free","1.18.30","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:33:41.457Z","context/context_provenance","Observed provider context retains non-user roles and non-request archive provenance","{""reason"":""No qualifying assertion observed in this case.""}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Injected context roles","interactive","Untested","Untested","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:40:04.889Z","context/context_provenance","Observed provider context retains non-user roles and non-request archive provenance","{""reason"":""No qualifying assertion observed in this case.""}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Injected context roles","interactive","Untested","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/context-injection-provenance","Observed provider context retains non-user roles and non-request archive provenance","{""reason"":""No provider-native context_injection event observed; no context claim from absence or text matching""}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Injected context roles","interactive","Design skip","Design skip","","","","","","","Observed provider context retains non-user roles and non-request archive provenance","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Request and turn correlation","interactive-cli","Fail","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/request-correlation","Native requests retain stable request roots and causal references","{""rooted_requests"":1,""stable_across_replay"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Request and turn correlation","interactive","Pass","Blocked","gpt-5.4-mini","codex-cli 0.153.4","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:34:42.246Z","chat/request-correlation","Native requests retain stable request roots and causal references","The exact native-user-request prerequisite fails because terminal color-response bytes entered the prompt (#1211). This dependent assertion does not establish another tool-role, context-role, or correlation defect.","https://github.com/wardian-app/Wardian/issues/1211"
"opencode","Chat","Request and turn correlation","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/request-correlation","Native requests retain stable request roots and causal references","{""rooted_requests"":1,""stable_across_replay"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Request and turn correlation","interactive-cli","Fail","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/request-correlation","Native requests retain stable request roots and causal references","{""rooted_requests"":1,""stable_across_replay"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Request and turn correlation","interactive","Fail","Fail","openai-codex/gpt-5.4-mini","","integration-tree-1fc9ba689854fcb90b68243a19eeb21e56641a69","SHA256 89bfdc0313802f9cac1a2264179a0ffff69f4e0c32649e7c23523095338471f1","2026-09-07T10:47:16.771Z","chat/request-correlation","Native requests retain stable request roots and causal references","First real human prompt lost native provenance during delivered-input/archive reconciliation; exact native-human-request assertion failed. Shared issue #1175; source adapter alone is insufficient.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Request and turn correlation","interactive","Design skip","Design skip","","","","","","","Native requests retain stable request roots and causal references","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Assistant response deduplication","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/one-visible-answer","One visible answer per provider response","{""final_answer_rows"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Assistant response deduplication","interactive","Pass","Untested","gpt-5.4-mini","codex-cli 0.153.4","e26a38369efc80ae42b5f234d02c29e046d70b7c","SHA256 fb4d590c87e0a08ecf6af077144cd3e2cbcca1fcd7e7e05eaa6a0e38cbe9c8f2","2026-09-07T19:35:50.478Z","chat/one-visible-answer","One visible answer per provider response","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Chat","Assistant response deduplication","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/one-visible-answer","One visible answer per provider response","{""final_answer_rows"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Assistant response deduplication","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/one-visible-answer","One visible answer per provider response","{""final_answer_rows"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Assistant response deduplication","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/one-visible-answer","One visible answer per provider response","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Assistant response deduplication","interactive","Design skip","Design skip","","","","","","","One visible answer per provider response","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Tool calls and results","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/tool-call-result","Real tool invocation and result rendered with correct identity","{""calls"":3,""results"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Tool calls and results","interactive","Blocked","Blocked","gpt-5.4-mini","codex-cli 0.153.4","9c7f093aafda1da15e1864934bf9844877784b38","SHA256 954c5b505277c57d9bcacba75e60d7d9314b6c377cbc921da4d5afc229778604","2026-09-07T15:57:33.994Z","chat/provider-sandbox-prerequisite","Real tool invocation and result rendered with correct identity","Configured Mini model and delivery receipt were verified after explicit model choice. The native tool failed with CreateProcessAsUserW -1073283067 launching WindowsApps PowerShell. No successful scratch read or Wardian tool projection verdict; security settings were preserved. A separate read-only cmd.exe stimulus tests projection without changing sandbox policy.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Chat","Tool calls and results","interactive-cli","Fail","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/tool-call-result","Real tool invocation and result rendered with correct identity","{""calls"":1,""results"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Tool calls and results","interactive-cli","Fail","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/tool-call-result","Real tool invocation and result rendered with correct identity","{""calls"":1,""results"":1}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Tool calls and results","interactive-cli","Pass","Fail","lmstudio/gemma-4-31b-unslop-good-lora-v1-i1","0.84.2","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 2b45904b408fdce7ab2d50d69d16a2c1e1372da2b5e5c1b64303a0b8af23aa9d; sources SHA256 8b65e5cba8489fe2a2f196ef2f91d82fb5b0228495c2b47fdbc9ae030284c16b; app SHA256 d186f0864d349f2d57f8509cf8710fc8ae3775d346c11c7e9d349aa6cb652696; CLI SHA256 c9479266b084441adda6f10531f115225adecd4c1839dece47e122ffeac1d4d6","2026-09-09T07:29:22.244Z","chat/tool-call-result","Real tool invocation and result rendered with correct identity","{""label"":""Coordinator diagnosis of existing execution, not a new run"",""reason"":""Native assistant emitted serialized tool markup as text; no structured tool call or tool result."",""real_native_assistant_turn"":true,""selected_model_observed"":true,""structured_tool_call_absent"":true,""structured_tool_result_absent"":true,""serialized_tool_markup_in_text"":true,""native_total_tokens"":3995,""provider_unavailable"":false,""readiness_reclassified_as_pass"":false}","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Tool calls and results","interactive","Design skip","Design skip","","","","","","","Real tool invocation and result rendered with correct identity","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Chat","Durable archive replay","interactive-cli","Blocked","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/archive-replay-after-restart","Archived history preserves roles and content after reload","{""durable_content_records"":10,""app_restarted"":true,""archive_read_without_provider_ingest"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Chat","Durable archive replay","interactive","Pass","Untested","gpt-5.4-mini","codex-cli 0.153.4","e26a38369efc80ae42b5f234d02c29e046d70b7c","SHA256 fb4d590c87e0a08ecf6af077144cd3e2cbcca1fcd7e7e05eaa6a0e38cbe9c8f2","2026-09-07T19:35:50.478Z","chat/archive-replay-after-restart","Archived history preserves roles and content after reload","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Chat","Durable archive replay","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/archive-replay-after-restart","Archived history preserves roles and content after reload","{""durable_content_records"":7,""app_restarted"":true,""archive_read_without_provider_ingest"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Chat","Durable archive replay","interactive-cli","Blocked","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/archive-replay-after-restart","Archived history preserves roles and content after reload","{""durable_content_records"":6,""app_restarted"":true,""archive_read_without_provider_ingest"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Chat","Durable archive replay","interactive","Blocked","Blocked","openai-codex/gpt-5.4-mini","","integration-tree-1fc9ba689854fcb90b68243a19eeb21e56641a69","SHA256 89bfdc0313802f9cac1a2264179a0ffff69f4e0c32649e7c23523095338471f1","2026-09-07T10:47:16.771Z","chat/archive-replay-after-restart","Archived history preserves roles and content after reload","Invalid harness precondition: Agents Overview deliberately removes paused cards. Failure occurred before app restart; no durable replay verdict. Corrected harness awaits the mounted answer before pausing, then compares durable archive through read IPC after restart.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Chat","Durable archive replay","interactive","Design skip","Design skip","","","","","","","Archived history preserves roles and content after reload","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Lifecycle","Pause and resume","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/pause-resume-continuity","Provider resumes exact conversation after pause","{""wardian_identity_unchanged"":true,""provider_identity_unchanged"":true,""remembered_file_only_answer"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Lifecycle","Pause and resume","interactive","Pass","Blocked","gpt-5.4-mini","codex-cli 0.153.4","dd8894da84b75a7cc970aacb289a8d8fa4544f40","SHA256 42b6a45779dbfe4db0696cec1a966ca8c57ec26b4c704c0b10a14914797296a0","2026-09-07T17:21:51.030Z","chat/pause-resume-continuity","Provider resumes exact conversation after pause","The provider reopened its model migration menu after resume. The harness omitted the explicit keep-configured-model prerequisite on restart. No follow-up turn was accepted; corrected current-harness run proves pause/resume separately.","https://github.com/wardian-app/Wardian/issues/1159"
"opencode","Lifecycle","Pause and resume","interactive rendering","Pass","Fail","opencode/mimo-v2.5-free","1.18.29","dd8894da84b75a7cc970aacb289a8d8fa4544f40","SHA256 42b6a45779dbfe4db0696cec1a966ca8c57ec26b4c704c0b10a14914797296a0","2026-09-07T17:59:54.168Z","rendering/resume-after-new-session","Provider resumes exact conversation after pause","After New Session, the exact owned provider launch created a native session and completed its answer while the title remained Idle. Discovery required Processing, so Wardian retained no resume identity and correctly refused a subsequent resume. This is discovery scheduling failure, not absent provider history.","https://github.com/wardian-app/Wardian/issues/1163"
"antigravity","Lifecycle","Pause and resume","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/pause-resume-continuity","Provider resumes exact conversation after pause","{""wardian_identity_unchanged"":true,""provider_identity_unchanged"":true,""remembered_file_only_answer"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Lifecycle","Pause and resume","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/pause-resume-continuity","Provider resumes exact conversation after pause","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
"gemini","Lifecycle","Pause and resume","interactive","Design skip","Design skip","","","","","","","Provider resumes exact conversation after pause","Unmaintained provider excluded from maintained-provider acceptance; no functionality claim.","https://github.com/wardian-app/Wardian/issues/581"
"claude","Lifecycle","Fresh session","interactive-cli","Pass","Pass","haiku","2.1.265 (Claude Code)","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T05:53:07.385Z","chat/fresh-session-boundary","New provider identity and no stale chat after fresh restart","{""provider_identity_rotated"":true,""stale_answers_absent"":true,""old_archive_preserved"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"codex","Lifecycle","Fresh session","interactive","Pass","Fail","gpt-5.4-mini","codex-cli 0.153.4","dd8894da84b75a7cc970aacb289a8d8fa4544f40","SHA256 42b6a45779dbfe4db0696cec1a966ca8c57ec26b4c704c0b10a14914797296a0","2026-09-07T17:31:22.006Z","chat/fresh-session-boundary","New provider identity and no stale chat after fresh restart","After app restart, an acknowledged fresh-session configuration update was overwritten by late startup restoration. Resume reused the old provider identity and retained the old conversation. Provider-neutral lifecycle race tracked in #1202.","https://github.com/wardian-app/Wardian/issues/1202"
"opencode","Lifecycle","Fresh session","interactive-cli","Pass","Pass","opencode/mimo-v2.5-free","1.18.29","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:01:37.474Z","chat/fresh-session-boundary","New provider identity and no stale chat after fresh restart","{""provider_identity_rotated"":true,""stale_answers_absent"":true,""old_archive_preserved"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"antigravity","Lifecycle","Fresh session","interactive-cli","Pass","Pass","gemini-3.8-flash-low","1.1.28","base:5094ed65b774b0f703de7021c3006be7a81b42af+sources:b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306","base 5094ed65b774b0f703de7021c3006be7a81b42af; manifest SHA256 3654dbba89e649cd13e7105b99b011fb88ebcac5ca99d7d2e65321c36905f86a; sources SHA256 b312deef18f7665efdbb409bb940bdc93301c61360a24701da6fc7f4261c3306; app SHA256 d4a677909edb45feec8061377866e1cc5fa77aafa34a9a0d4e434e65fb0429cc; CLI SHA256 f0796065e2f5a69abd00f73f70792ff3a18acd20ca7eecdcc61e8920c1ffd1b8","2026-09-09T06:05:12.321Z","chat/fresh-session-boundary","New provider identity and no stale chat after fresh restart","{""provider_identity_rotated"":true,""stale_answers_absent"":true,""old_archive_preserved"":true}","https://github.com/wardian-app/Wardian/issues/1159"
"pi","Lifecycle","Fresh session","interactive","Pass","Untested","openai-codex/gpt-5.4-mini","","d044ce4507d04888b39174541e8f39e900951fc9","SHA256 943f2aa28992825fc156ca828897d0690e1f007c0ed67d1debba6dbfc5a13c97","2026-09-07T18:45:46.673Z","chat/fresh-session-boundary","New provider identity and no stale chat after fresh restart","Historical pass on harness 432924222c5cfdd449e1ee936bfbc7fe142a7fd45924fefdbe7e9302ce08b178; current submitted harness 4fbe7423e892c6702d1acf6a4aa61659ca1a8b3450338d1a6de5f102e9a90413 has no qualifying rerun for this scenario. The ledger preserves the original observation.","https://github.com/wardian-app/Wardian/issues/1159"
